subset,image,before_uciqe,after_uciqe,before_uiqm,after_uiqm,delta_uciqe,delta_uiqm
UCCS,UCCS/blue/blue_00.jpg,1.6683364,2.9419746,0.21628039415597566,0.19307523771684612,1.2736382,-0.023205156439129543
UCCS,UCCS/blue/blue_01.jpg,1.6461599,2.5986435,0.23485271734927354,0.21515779413546093,0.95248365,-0.01969492321381261
UCCS,UCCS/blue/blue_02.jpg,1.6548452,2.6429985,0.24637959576089521,0.2186612796113048,0.9881532,-0.027718316149590416
UCCS,UCCS/blue/blue_03.jpg,1.7126294,2.7049215,0.24337147694638675,0.22957930222536332,0.99229205,-0.013792174721023426
UCCS,UCCS/blue/blue_04.jpg,1.8349044,2.9822352,0.23824840875208916,0.2126896485884099,1.1473308,-0.02555876016367925
UCCS,UCCS/blue/blue_05.jpg,1.850049,2.9454613,0.25016060803675294,0.21312559004133771,1.0954123,-0.037035017995415226
UCCS,UCCS/blue/blue_06.jpg,1.8333453,2.8171725,0.2657915538218641,0.24936216704873737,0.98382723,-0.01642938677312672
UCCS,UCCS/blue/blue_07.jpg,1.7068425,2.5808525,0.2505993802409582,0.19923407269674598,0.87400997,-0.0513653075442122
UCCS,UCCS/blue/blue_08.jpg,1.5492522,2.3285303,0.2390072490772713,0.2443785742872311,0.77927816,0.005371325209959782
UCCS,UCCS/blue/blue_10.jpg,1.4746505,2.1619759,0.21224987514321664,0.23487142981221804,0.68732536,0.022621554669001398
UCCS,UCCS/blue/blue_11.jpg,1.5200462,2.2061281,0.20655293849629994,0.23123194343626785,0.6860819,0.024679004939967913
UCCS,UCCS/blue/blue_12.jpg,1.5483129,2.3000767,0.21511956004297283,0.22364342218306138,0.7517638,0.008523862140088545
UCCS,UCCS/blue/blue_13.jpg,1.5121585,2.2158084,0.21100016666011856,0.2264091966477783,0.7036499,0.01540902998765975
UCCS,UCCS/blue/blue_14.jpg,1.5840652,2.2714074,0.26152715926406317,0.266262938351873,0.68734217,0.0047357790878098105
UCCS,UCCS/blue/blue_15.jpg,1.6878104,1.982128,0.31049996932462554,0.31904870170815125,0.2943176,0.008548732383525715
UCCS,UCCS/blue/blue_16.jpg,1.7697992,2.020438,0.3393415446498432,0.3481317474448869,0.25063872,0.008790202795043722
UCCS,UCCS/blue/blue_17.jpg,1.8644233,1.9002036,0.35869553874271515,0.3677552468124126,0.03578031,0.00905970806969747
UCCS,UCCS/blue/blue_18.jpg,1.914439,1.8369166,0.3826493420634351,0.3764903732466496,-0.0775224,-0.006158968816785515
UCCS,UCCS/blue/blue_19.jpg,2.0921853,1.8694496,0.4270768325750211,0.41494138429085664,-0.22273564,-0.012135448284164463
UCCS,UCCS/blue/blue_20.jpg,2.2057493,2.2402596,0.479228158636197,0.4831620397140124,0.034510374,0.003933881077815393
UCCS,UCCS/blue/blue_21.jpg,2.156949,2.0471125,0.4806252150181734,0.46535553320803047,-0.10983658,-0.015269681810142932
UCCS,UCCS/blue/blue_22.jpg,2.0032127,1.7883989,0.4591420251253073,0.4356992459780465,-0.21481383,-0.023442779147260784
UCCS,UCCS/blue/blue_23.jpg,2.1179821,1.9222926,0.48496783811400257,0.4826965004511942,-0.19568956,-0.002271337662808348
UCCS,UCCS/blue/blue_24.jpg,2.372785,2.066898,0.5368888787980536,0.4862864333366207,-0.30588698,-0.05060244546143289
UCCS,UCCS/blue/blue_25.jpg,2.5732276,2.3409405,0.5975110047576999,0.548279240791756,-0.23228717,-0.049231763965943864
UCCS,UCCS/blue/blue_26.jpg,2.6986191,2.7555032,0.6402351808481849,0.6231870330005519,0.05688405,-0.017048147847632977
UCCS,UCCS/blue/blue_27.jpg,2.7457488,2.382638,0.6666056043854123,0.6022498562802755,-0.36311078,-0.06435574810513678
UCCS,UCCS/blue/blue_28.jpg,2.7078636,2.4528604,0.687259426506315,0.6419845843640121,-0.2550032,-0.04527484214230293
UCCS,UCCS/blue/blue_29.jpg,2.5413918,2.1587925,0.6693590244069312,0.5988817982913816,-0.38259935,-0.07047722611554963
UCCS,UCCS/blue/blue_30.jpg,2.6137967,2.3062782,0.6451332428112619,0.5757307948892464,-0.30751848,-0.06940244792201555
UCCS,UCCS/blue/blue_31.jpg,3.3484437,2.3968818,0.6275043515650772,0.5792934686707515,-0.9515619,-0.048210882894325735
UCCS,UCCS/blue/blue_32.jpg,3.357298,2.447188,0.6360336266983123,0.5372600563018449,-0.91011,-0.09877357039646739
UCCS,UCCS/blue/blue_33.jpg,3.2710018,2.956298,0.6527999702718904,0.6303522410243435,-0.3147037,-0.0224477292475469
UCCS,UCCS/blue/blue_34.jpg,3.1916566,3.2588277,0.6474149575510162,0.6763871161544199,0.0671711,0.02897215860340374
UCCS,UCCS/blue/blue_35.jpg,3.17086,3.0916524,0.6441503609392708,0.6299965587055901,-0.07920766,-0.014153802233680679
UCCS,UCCS/blue/blue_36.jpg,3.7570562,3.1253817,0.6039647001464113,0.5244057561250932,-0.6316745,-0.07955894402131813
UCCS,UCCS/blue/blue_37.jpg,3.9293423,3.2413433,0.6277648944407817,0.5321504407087929,-0.687999,-0.09561445373198874
UCCS,UCCS/blue/blue_38.jpg,4.12774,3.3786647,0.6807145354720009,0.6054821021841429,-0.7490752,-0.075232433287858
UCCS,UCCS/blue/blue_39.jpg,2.7865624,2.1509757,0.567978560002141,0.5084497721284779,-0.63558674,-0.059528787873663114
UCCS,UCCS/blue/blue_40.jpg,2.8340406,2.2183604,0.5554831106202799,0.5020561370314495,-0.6156802,-0.05342697358883042
UCCS,UCCS/blue/blue_41.jpg,3.0549989,2.3361027,0.5898393370337615,0.5413889389022325,-0.71889615,-0.04845039813152896
UCCS,UCCS/blue/blue_42.jpg,2.796808,2.112971,0.5835080853556359,0.5316551906285658,-0.68383694,-0.05185289472707011
UCCS,UCCS/blue/blue_43.jpg,2.5346904,2.3240666,0.4753021201806355,0.47077937048809154,-0.21062374,-0.004522749692543959
UCCS,UCCS/blue/blue_44.jpg,2.5589612,2.2892067,0.4741890014555882,0.45749668825295925,-0.2697544,-0.016692313202628928
UCCS,UCCS/blue/blue_45.jpg,2.5686848,2.29382,0.48023400316138287,0.4469404719105963,-0.2748649,-0.033293531250786546
UCCS,UCCS/blue/blue_46.jpg,2.4204907,2.1634274,0.4761845108664364,0.46304814917465836,-0.2570634,-0.013136361691778009
UCCS,UCCS/blue/blue_47.jpg,2.4254982,2.1411216,0.489005155572579,0.475831430872377,-0.28437662,-0.013173724700202005
UCCS,UCCS/blue/blue_48.jpg,2.4995716,2.2402697,0.4976032928297705,0.4923972131146424,-0.2593019,-0.005206079715128098
UCCS,UCCS/blue/blue_49.jpg,2.7800767,2.0825737,0.5490396613424706,0.5031967585165931,-0.6975031,-0.04584290282587755
UCCS,UCCS/blue/blue_50.jpg,2.1656737,2.162546,0.5473922908316547,0.527267287831726,-0.0031278133,-0.0201250029999287
UCCS,UCCS/blue/blue_51.jpg,1.7467239,2.1811497,0.5007435497531256,0.5093571563194923,0.43442583,0.008613606566366672
UCCS,UCCS/blue/blue_52.jpg,2.1247714,1.8777182,0.4266512790425709,0.3839685161626839,-0.24705315,-0.04268276287988698
UCCS,UCCS/blue/blue_53.jpg,2.1637487,1.9135151,0.4392534711131117,0.4053312634010495,-0.25023365,-0.03392220771206217
UCCS,UCCS/blue/blue_54.jpg,2.3839896,2.0819297,0.4789350005441167,0.478269797463384,-0.3020599,-0.0006652030807327014
UCCS,UCCS/blue/blue_55.jpg,2.2249744,2.062169,0.4719614540323222,0.4634774772676743,-0.16280532,-0.008483976764647905
UCCS,UCCS/blue/blue_56.jpg,2.1210048,2.227735,0.4201737022987952,0.3930983225008179,0.10673022,-0.027075379797977306
UCCS,UCCS/blue/blue_57.jpg,2.1813219,2.3623388,0.40601622154856754,0.40655182523024386,0.18101692,0.0005356036816763221
UCCS,UCCS/blue/blue_58.jpg,2.3857102,2.461069,0.4079226449466485,0.4010651408868312,0.07535887,-0.0068575040598172765
UCCS,UCCS/blue/blue_59.jpg,2.0354142,1.8881682,0.5362150578122685,0.4557403054838274,-0.147246,-0.08047475232844115
UCCS,UCCS/blue/blue_60.jpg,2.17026,3.346719,0.39759845757680673,0.3439567100997879,1.1764591,-0.05364174747701883
UCCS,UCCS/blue/blue_61.jpg,2.4018147,3.9078112,0.40636420650332733,0.3731980907584594,1.5059965,-0.03316611574486794
UCCS,UCCS/blue/blue_62.jpg,2.4609857,3.7267222,0.3921706727219819,0.3971241401836133,1.2657366,0.004953467461631389
UCCS,UCCS/blue/blue_63.jpg,2.0936599,1.9949379,0.42413168211992375,0.40168222351686594,-0.09872198,-0.022449458603057804
UCCS,UCCS/blue/blue_64.jpg,2.212873,2.001533,0.4597053311708918,0.4200922265459632,-0.21133995,-0.03961310462492862
UCCS,UCCS/blue/blue_65.jpg,2.0983415,2.2916753,0.4339978855358451,0.4510284751085722,0.19333386,0.017030589572727073
UCCS,UCCS/blue/blue_66.jpg,2.1494722,2.3517222,0.43243351435349714,0.4535579045621526,0.20225,0.021124390208655475
UCCS,UCCS/blue/blue_67.jpg,2.5348816,2.2634947,0.4788524365414644,0.4527295280058024,-0.27138686,-0.026122908535662015
UCCS,UCCS/blue/blue_68.jpg,2.5765822,2.0485575,0.5328217883580184,0.4762076767314021,-0.5280247,-0.05661411162661634
UCCS,UCCS/blue/blue_69.jpg,1.9641044,1.9110569,0.5012010945649772,0.4657697989053249,-0.053047538,-0.03543129565965231
UCCS,UCCS/blue/blue_70.jpg,2.3132765,2.2617218,0.4723175230067351,0.39006603341617785,-0.05155468,-0.08225148959055723
UCCS,UCCS/blue/blue_71.jpg,2.3307843,2.3342643,0.4732481711057329,0.4251742688771795,0.0034799576,-0.0480739022285534
UCCS,UCCS/blue/blue_72.jpg,2.4232802,3.6307347,0.37989707133017886,0.35772454373876517,1.2074544,-0.022172527591413693
UCCS,UCCS/blue/blue_73.jpg,2.120033,3.8273602,0.3276269662565265,0.3001791656255629,1.7073271,-0.02744780063096358
UCCS,UCCS/blue/blue_74.jpg,1.9753981,3.891423,0.32002604678223523,0.29054557206614207,1.9160249,-0.029480474716093164
UCCS,UCCS/blue/blue_75.jpg,2.0752172,3.3987,0.38014434089683097,0.3210516717877054,1.3234828,-0.059092669109125584
UCCS,UCCS/blue/blue_76.jpg,2.1671638,2.9164574,0.4292460489520841,0.3691401217243965,0.74929357,-0.06010592722768765
UCCS,UCCS/blue/blue_77.jpg,2.2105365,2.4065766,0.485841711535705,0.41086541905865,0.19604015,-0.074976292477055
UCCS,UCCS/blue/blue_78.jpg,2.0978603,2.1985433,0.5144428902673476,0.4625132984640768,0.100682974,-0.05192959180327078
UCCS,UCCS/blue/blue_79.jpg,2.0447004,2.200157,0.4978900060313706,0.4456854377170138,0.15545654,-0.052204568314356825
UCCS,UCCS/blue/blue_80.jpg,2.4290965,2.2029614,0.643618197647428,0.5778310836971476,-0.22613502,-0.06578711395028036
UCCS,UCCS/blue/blue_81.jpg,2.4250135,2.246539,0.6296713948908249,0.5709364287204878,-0.17847443,-0.05873496617033713
UCCS,UCCS/blue/blue_82.jpg,2.3978734,2.2893624,0.6013423610855374,0.5398420585102996,-0.10851097,-0.06150030257523775
UCCS,UCCS/blue/blue_83.jpg,2.5371995,2.5024755,0.6198390349754668,0.5972699533178093,-0.034723997,-0.022569081657657475
UCCS,UCCS/blue/blue_84.jpg,2.5521276,2.52148,0.654245919348291,0.6239600770058825,-0.030647516,-0.030285842342408498
UCCS,UCCS/blue/blue_85.jpg,2.3214798,2.5664682,0.482459199782366,0.460250911818118,0.24498844,-0.022208287964248008
UCCS,UCCS/blue/blue_86.jpg,2.1752691,2.3107562,0.49430289237065445,0.4448512527648432,0.13548708,-0.049451639605811226
UCCS,UCCS/blue/blue_87.jpg,2.2621098,2.2621093,0.5202901177627086,0.45625930050203867,-4.7683716e-07,-0.06403081726066995
UCCS,UCCS/blue/blue_88.jpg,2.3427627,2.4194136,0.5338081162564946,0.506889924074091,0.07665086,-0.026918192182403655
UCCS,UCCS/blue/blue_89.jpg,2.2717361,2.274232,0.5813055901860856,0.5638673538516649,0.0024957657,-0.017438236334420765
UCCS,UCCS/blue/blue_9.jpg,1.4698755,2.2737424,0.21998462738757038,0.23466694869495144,0.803867,0.014682321307381063
UCCS,UCCS/blue/blue_90.jpg,2.2495115,2.1436925,0.6187276567079629,0.5908804229880408,-0.10581899,-0.02784723371992215
UCCS,UCCS/blue/blue_91.jpg,2.288519,2.7452369,0.5186728550175368,0.5335730533064994,0.45671797,0.014900198288962607
UCCS,UCCS/blue/blue_92.jpg,2.5962439,3.4204948,0.4678177505920134,0.458540838114352,0.82425094,-0.009276912477661436
UCCS,UCCS/blue/blue_93.jpg,2.947643,4.289997,0.4743484767119151,0.4386399474381715,1.342354,-0.03570852927374363
UCCS,UCCS/blue/blue_94.jpg,2.6717682,3.8960133,0.44945118683689633,0.4060333256737194,1.2242451,-0.04341786116317692
UCCS,UCCS/blue/blue_95.jpg,2.3472624,3.4732988,0.44088434461552173,0.371624474263832,1.1260364,-0.06925987035168973
UCCS,UCCS/blue/blue_96.jpg,2.3169806,4.052972,0.3614795215861808,0.3138899470501432,1.7359912,-0.04758957453603757
UCCS,UCCS/blue/blue_97.jpg,2.1307719,4.244485,0.2932942835375109,0.3005841362692382,2.113713,0.0072898527317272754
UCCS,UCCS/blue/blue_98.jpg,2.4071844,4.201324,0.32315524452940564,0.3239354719745838,1.7941396,0.0007802274451781388
UCCS,UCCS/blue/blue_99.jpg,2.6522608,4.6339,0.333455210151345,0.3201889526257654,1.9816394,-0.013266257525579583
UCCS,UCCS/blue-green/bg_00.jpg,3.210228,4.5885863,0.3872509166210755,0.3810809937268136,1.3783584,-0.006169922894261937
UCCS,UCCS/blue-green/bg_01.jpg,3.255298,4.6906304,0.36874281482825166,0.36973671156437304,1.4353325,0.0009938967361213802
UCCS,UCCS/blue-green/bg_02.jpg,3.2585208,4.6090198,0.3500177474683581,0.3667364160864542,1.3504989,0.016718668618096066
UCCS,UCCS/blue-green/bg_03.jpg,3.5502636,4.6568017,0.3337974221502989,0.31648432546154837,1.106538,-0.01731309668875053
UCCS,UCCS/blue-green/bg_04.jpg,2.1698408,5.2130313,0.2461861313101853,0.37546996245205605,3.0431905,0.12928383114187075
UCCS,UCCS/blue-green/bg_05.jpg,2.1467957,4.542079,0.26553440257535277,0.4007290150486715,2.3952832,0.1351946124733187
UCCS,UCCS/blue-green/bg_06.jpg,2.349928,4.4083233,0.19983023713547562,0.29796881668861563,2.0583954,0.09813857955314001
UCCS,UCCS/blue-green/bg_07.jpg,2.9383016,4.123944,0.2184874254458053,0.2923121628137167,1.1856422,0.0738247373679114
UCCS,UCCS/blue-green/bg_08.jpg,3.1617072,3.4881752,0.2585518173736582,0.28550578330417403,0.326468,0.026953965930515855
UCCS,UCCS/blue-green/bg_10.jpg,2.3826048,4.7490673,0.19083875353824656,0.2664696142362985,2.3664625,0.07563086069805194
UCCS,UCCS/blue-green/bg_11.jpg,2.3569636,3.5760796,0.17201115332190775,0.23862002477174826,1.219116,0.06660887144984051
UCCS,UCCS/blue-green/bg_12.jpg,3.3084974,3.7015898,0.2838228920588603,0.2612727295443545,0.3930924,-0.02255016251450581
UCCS,UCCS/blue-green/bg_13.jpg,3.5291514,3.9776297,0.33719700621629467,0.30095995705301654,0.44847822,-0.036237049163278134
UCCS,UCCS/blue-green/bg_14.jpg,3.3166578,3.6982048,0.3305918804341376,0.3048097805991501,0.38154697,-0.025782099834987526
UCCS,UCCS/blue-green/bg_15.jpg,2.9725618,3.7546008,0.2937525765707664,0.29105041413780103,0.7820389,-0.0027021624329653937
UCCS,UCCS/blue-green/bg_16.jpg,2.630137,4.15418,0.27589103246350954,0.3229038279679664,1.5240431,0.04701279550445686
UCCS,UCCS/blue-green/bg_17.jpg,2.123041,5.961594,0.25265426989355716,0.385691584331591,3.8385532,0.13303731443803385
UCCS,UCCS/blue-green/bg_18.jpg,1.8703468,4.382924,0.2786287072736185,0.42981305126564906,2.5125773,0.15118434399203057
UCCS,UCCS/blue-green/bg_19.jpg,2.162279,5.090686,0.27318922986300087,0.4090495814656627,2.928407,0.13586035160266186
UCCS,UCCS/blue-green/bg_20.jpg,2.3946388,4.062641,0.36510622097653134,0.5060614662159261,1.6680024,0.14095524523939473
UCCS,UCCS/blue-green/bg_21.jpg,1.4825444,2.5474322,0.2951707942002616,0.38054688905902395,1.0648878,0.08537609485876235
UCCS,UCCS/blue-green/bg_22.jpg,2.3466952,4.2343273,0.27744581426709314,0.330908119525955,1.8876321,0.053462305258861864
UCCS,UCCS/blue-green/bg_23.jpg,2.3889315,4.2869005,0.2842195531630965,0.34680112800822016,1.897969,0.06258157484512367
UCCS,UCCS/blue-green/bg_24.jpg,2.3661544,4.3025017,0.31378123126904006,0.4063109387761929,1.9363472,0.09252970750715284
UCCS,UCCS/blue-green/bg_25.jpg,1.6239692,2.4415276,0.33968282695178137,0.4694541773302518,0.8175584,0.12977135037847043
UCCS,UCCS/blue-green/bg_26.jpg,2.075048,4.677645,0.2786970147354792,0.3864801930411484,2.6025972,0.10778317830566919
UCCS,UCCS/blue-green/bg_27.jpg,2.917937,4.16125,0.24055975429634938,0.30091873416636955,1.2433131,0.060358979870020174
UCCS,UCCS/blue-green/bg_28.jpg,3.0940845,4.023975,0.25264747058236614,0.3294122104438013,0.9298904,0.07676473986143517
UCCS,UCCS/blue-green/bg_29.jpg,3.0400567,4.283018,0.2334190773417009,0.29205069836244196,1.2429614,0.05863162102074107
UCCS,UCCS/blue-green/bg_30.jpg,2.8000064,4.4864464,0.21813930472594348,0.29327451926605835,1.68644,0.07513521454011488
UCCS,UCCS/blue-green/bg_31.jpg,2.0507576,3.9447494,0.2150222163850306,0.25957801640255496,1.8939917,0.04455580001752435
UCCS,UCCS/blue-green/bg_32.jpg,2.2449958,4.5450835,0.22624716214813764,0.2848057403999175,2.3000877,0.058558578251779875
UCCS,UCCS/blue-green/bg_33.jpg,2.630655,5.451804,0.23618429697789467,0.27092705285408336,2.821149,0.03474275587618869
UCCS,UCCS/blue-green/bg_34.jpg,2.0137613,3.3733218,0.2524098567506894,0.3334459373164184,1.3595605,0.08103608056572903
UCCS,UCCS/blue-green/bg_35.jpg,1.6693172,4.604614,0.21380526518384665,0.36580522437437446,2.9352965,0.1519999591905278
UCCS,UCCS/blue-green/bg_36.jpg,1.4843326,2.6858072,0.26984975038956405,0.4407451850977666,1.2014747,0.17089543470820256
UCCS,UCCS/blue-green/bg_37.jpg,2.409419,3.9864058,0.409187014303219,0.45732975397960374,1.5769868,0.048142739676384716
UCCS,UCCS/blue-green/bg_38.jpg,2.0807765,4.1809626,0.35500312279448315,0.492463282523775,2.100186,0.13746015972929188
UCCS,UCCS/blue-green/bg_39.jpg,2.4147704,4.3732915,0.3210940027030745,0.4546982174956323,1.9585211,0.1336042147925578
UCCS,UCCS/blue-green/bg_40.jpg,2.3449204,3.055892,0.2905784103314244,0.33373753351324614,0.7109716,0.043159123181821746
UCCS,UCCS/blue-green/bg_41.jpg,2.0291357,3.2815526,0.29421535717942765,0.4233688272201629,1.2524168,0.12915347004073524
UCCS,UCCS/blue-green/bg_42.jpg,1.4421816,2.3611593,0.2682181925286114,0.3923555658651509,0.91897774,0.12413737333653951
UCCS,UCCS/blue-green/bg_43.jpg,2.4900422,3.9105427,0.2707211638172188,0.2815792479942217,1.4205005,0.010858084177002902
UCCS,UCCS/blue-green/bg_44.jpg,2.839695,4.3284245,0.3292662797779878,0.3221894102971029,1.4887295,-0.007076869480884873
UCCS,UCCS/blue-green/bg_45.jpg,2.8202264,5.1825104,0.25773729026901904,0.3586996821073796,2.362284,0.10096239183836059
UCCS,UCCS/blue-green/bg_46.jpg,2.4331827,5.202649,0.21484223676319494,0.29428623304670115,2.7694664,0.07944399628350621
UCCS,UCCS/blue-green/bg_47.jpg,2.1520288,4.888585,0.22780825619933487,0.33326958193408734,2.7365563,0.10546132573475248
UCCS,UCCS/blue-green/bg_48.jpg,1.6994002,4.245793,0.21473158704751882,0.3339012872856335,2.5463927,0.11916970023811468
UCCS,UCCS/blue-green/bg_49.jpg,1.6879611,3.7233229,0.20774755426388242,0.29087270398191306,2.0353618,0.08312514971803064
UCCS,UCCS/blue-green/bg_50.jpg,2.2976563,4.951748,0.22690207980343538,0.24155151352468782,2.6540916,0.014649433721252436
UCCS,UCCS/blue-green/bg_51.jpg,2.551715,5.280938,0.24657981650825878,0.28447077637922236,2.7292233,0.03789095987096358
UCCS,UCCS/blue-green/bg_52.jpg,2.2243488,5.456829,0.2921286269893092,0.44484039966144645,3.2324803,0.15271177267213726
UCCS,UCCS/blue-green/bg_53.jpg,2.0681252,3.73925,0.33698468018272054,0.4979087853404638,1.6711247,0.16092410515774325
UCCS,UCCS/blue-green/bg_54.jpg,2.3228705,4.361518,0.30641013420780083,0.40648980603812146,2.0386474,0.10007967183032063
UCCS,UCCS/blue-green/bg_55.jpg,2.5125067,4.7398643,0.3264150074192782,0.4269485609014955,2.2273576,0.10053355348221732
UCCS,UCCS/blue-green/bg_56.jpg,1.8907833,3.2035782,0.3371438121312097,0.4401445374291684,1.3127949,0.10300072529795873
UCCS,UCCS/blue-green/bg_57.jpg,1.9120183,2.7356853,0.3273353700649639,0.40756093865879617,0.82366705,0.08022556859383229
UCCS,UCCS/blue-green/bg_58.jpg,2.8520372,4.206693,0.355600766394163,0.3891479488148177,1.354656,0.033547182420654686
UCCS,UCCS/blue-green/bg_59.jpg,3.4327233,5.315894,0.3941017936023741,0.386944757082649,1.8831708,-0.007157036519725046
UCCS,UCCS/blue-green/bg_60.jpg,2.299543,4.170695,0.3122862016068715,0.4922181263629435,1.8711519,0.179931924756072
UCCS,UCCS/blue-green/bg_61.jpg,1.2549672,3.1307666,0.3158187226910426,0.4994245319111595,1.8757994,0.18360580922011688
UCCS,UCCS/blue-green/bg_62.jpg,1.2527629,3.029724,0.3216755295960771,0.48575266727318905,1.776961,0.16407713767711196
UCCS,UCCS/blue-green/bg_63.jpg,0.9569916,1.890953,0.3180173259881624,0.48546158240921683,0.93396133,0.16744425642105443
UCCS,UCCS/blue-green/bg_64.jpg,2.2286193,2.5006156,0.2752125289101831,0.29347345599143054,0.27199626,0.018260927081247436
UCCS,UCCS/blue-green/bg_65.jpg,2.2201874,2.4772556,0.27218190782496765,0.29224260480752234,0.25706816,0.020060696982554693
UCCS,UCCS/blue-green/bg_66.jpg,2.198545,2.3758852,0.27123478932564793,0.28893286644449295,0.17734027,0.017698077118845024
UCCS,UCCS/blue-green/bg_67.jpg,2.7864606,6.007599,0.25520838441252175,0.33628893065529014,3.2211382,0.08108054624276839
UCCS,UCCS/blue-green/bg_68.jpg,1.8111693,5.8521023,0.2970748921393479,0.4491614209372117,4.040933,0.15208652879786377
UCCS,UCCS/blue-green/bg_69.jpg,1.7460889,5.0323224,0.31394166041515753,0.5052067832093686,3.2862334,0.1912651227942111
UCCS,UCCS/blue-green/bg_70.jpg,1.6752949,4.515258,0.31560695223618845,0.5074969379472196,2.839963,0.19188998571103116
UCCS,UCCS/blue-green/bg_71.jpg,1.6746451,4.349437,0.32610857553404426,0.5242840815357989,2.6747923,0.1981755060017546
UCCS,UCCS/blue-green/bg_72.jpg,1.6113085,3.287571,0.33983763663842814,0.5441712801488373,1.6762625,0.20433364351040917
UCCS,UCCS/blue-green/bg_73.jpg,1.5325656,2.3823054,0.35326653792656604,0.5284065261110352,0.8497398,0.1751399881844692
UCCS,UCCS/blue-green/bg_74.jpg,1.8643646,3.0723226,0.15500375285033652,0.20562076216078976,1.207958,0.05061700931045324
UCCS,UCCS/blue-green/bg_75.jpg,1.9429393,3.4024482,0.1501700860228953,0.21062722901688194,1.4595089,0.060457142993986634
