image,before_uciqe,after_uciqe,before_uiqm,after_uiqm
100001.png,3.9386294,3.1606743,0.5513928065391744,0.47255120254396504
10091.png,5.6961384,6.191353,0.6689337057241751,0.7467050458034853
10103.png,2.225271,4.2195296,0.3370218309795644,0.45046392951678443
10167.png,3.198905,3.844313,0.3756188058462754,0.42745423632536833
102.png,2.0633762,2.4722893,0.29034833056625986,0.24914942798334724
10226.png,7.672603,7.338261,0.5744274227194422,0.647052162384808
10475.png,2.6141548,4.603235,0.3312825044673218,0.3615062489846836
10488.png,2.184053,4.7242913,0.31326356511681724,0.3478319541609382
12191.png,2.0036142,2.46422,0.2865578416736297,0.27257496918640406
12203.png,1.9438304,3.0964754,0.4994353033606279,0.41464121705402307
12228.png,0.9453957,1.7861015,0.10405133897919443,0.08914887423389482
12565.png,1.928774,2.367274,0.22792905198247868,0.2575262248078961
12577.png,2.1626258,2.9784946,0.3615148715506183,0.3470370640030787
12625.png,1.8574742,1.9938755,0.23912054628703525,0.3007791238261644
12709.png,1.650952,3.599693,0.29532438934826294,0.40516995550323015
12753.png,2.3603373,2.9361298,0.249749586202867,0.32347416279377916
12960.png,2.2169497,4.329073,0.3000804007301651,0.38794524871380404
12972.png,4.241248,5.1622357,0.43282632475447813,0.3737382485386425
13252.png,3.989593,4.162047,0.40162527256457264,0.3232759754113157
13259.png,3.4571342,5.636904,0.2549545418052789,0.2977866472772547
15603.png,3.6590488,2.8852243,0.29421176077433764,0.2813014425973083
15735.png,2.6037326,1.9885998,0.22361611066776974,0.15298393580322564
15738.png,4.339759,3.206248,0.369291358260903,0.26786515757310725
15740.png,1.8357452,2.577917,0.17821883012273942,0.23339740089969246
15774.png,2.7717974,5.553098,0.3974586578719696,0.4207325430830543
15775.png,0.6489527,1.4826441,0.17908492689695144,0.14642732499672517
2.png,2.4252,3.4798713,0.2985355138461158,0.2726027463718984
2575.png,2.5577948,4.0725155,0.5194483098228148,0.5317090167676128
2583.png,1.823037,3.5849264,0.4263599627362566,0.507418420478397
2856.png,3.289516,4.213737,0.6040381335047349,0.5335321546846953
3027.png,7.0419517,9.109673,0.7136460616891277,0.7530970413880745
3051.png,3.5431292,4.414968,0.7040529730456874,0.6272544009007375
3087.png,4.8720245,5.4292316,0.6955400148887632,0.646565527312272
3175.png,2.0984607,3.0060625,0.14081998292530756,0.24191277475183864
3201.png,2.6477828,3.6785445,0.608781573850658,0.7295008163565221
3279.png,1.6528002,3.7347717,0.24459684957027641,0.4507590840388397
34.png,2.7094386,4.312621,0.41499273763621763,0.4187462865079523
3494.png,4.5383534,5.259635,0.5549186578043732,0.5840734892749138
3519.png,4.8719134,6.1567483,0.43788922301288913,0.4048375547151048
358_img_.png,4.22918,6.759086,0.6795580758504983,0.5617285464281486
432.png,2.1455684,1.3812501,0.25424423446884764,0.20257403354528167
5.png,2.9261408,4.8484235,0.5781464705418748,0.580017722165611
52.png,3.4696214,4.260969,0.45612976831846025,0.46780162970393996
579.png,3.4961927,4.618365,0.49734652511545135,0.5779136660990434
605.png,5.9487042,5.6274137,0.7634683851556328,0.658057129808457
616.png,3.9263942,2.9800837,0.3452843746479101,0.3429324976881863
627.png,6.2036567,7.1894364,0.5379011434131884,0.5107943058130899
6333.png,2.3146176,2.7589474,0.3385362743726868,0.3675589603557603
6340.png,2.4440544,3.1066892,0.3521020781477208,0.37882115723891835
643_img_.png,3.8616333,3.297256,0.6483273403570033,0.5841968749606653
6527.png,2.2587392,3.0500839,0.4226753714486991,0.4071302200937366
7277.png,2.111493,2.5887551,0.2670721877563634,0.3160937305514429
7291.png,2.606318,2.7154317,0.3425948459109459,0.28195590623685773
770.png,2.953737,3.13603,0.5867532627844674,0.8033106710009263
866.png,2.1240125,2.4627175,0.5220140804203222,0.6719053599974449
880.png,3.1918988,4.2181144,0.2825966909354674,0.3753158899007786
9553.png,3.1517532,4.5684915,0.36773094857543126,0.3930516687125829
9602.png,3.8425562,4.719994,0.5921538010242917,0.7648902079605783
9607.png,3.5590951,4.184213,0.4559483434635091,0.44069163828193353
9618.png,4.168565,4.137546,0.980938020302888,1.0129215640176112
