subset,image,before_uciqe,after_uciqe,before_uiqm,after_uiqm
UCCS,UCCS/blue/blue_00.jpg,1.6844918,1.8217101,0.21921773297361774,0.40804489719587006
UCCS,UCCS/blue/blue_01.jpg,1.6619066,1.7976896,0.2388524858692153,0.44195556626256094
UCCS,UCCS/blue/blue_02.jpg,1.6703626,1.826251,0.25034990812952407,0.451402603399544
UCCS,UCCS/blue/blue_03.jpg,1.7279257,1.9171073,0.2474213037948074,0.4594307168781787
UCCS,UCCS/blue/blue_04.jpg,1.8460786,2.0166929,0.24165301846322187,0.4474858877005227
UCCS,UCCS/blue/blue_05.jpg,1.8618133,2.048497,0.2531831800727628,0.43411803949625755
UCCS,UCCS/blue/blue_06.jpg,1.8468931,2.0048156,0.26876657378451674,0.42562193302269474
UCCS,UCCS/blue/blue_07.jpg,1.7157897,1.9533228,0.25327828256321383,0.41851102034260157
UCCS,UCCS/blue/blue_08.jpg,1.5605781,1.7600865,0.24169804562906122,0.376733198002782
UCCS,UCCS/blue/blue_10.jpg,1.488077,1.7219782,0.2152151207865187,0.35748244905636184
UCCS,UCCS/blue/blue_11.jpg,1.5312251,1.7204397,0.20985226670468723,0.36361060923558125
UCCS,UCCS/blue/blue_12.jpg,1.5580822,1.7566142,0.21865479935394874,0.3778073372673009
UCCS,UCCS/blue/blue_13.jpg,1.5249226,1.7192433,0.2147643346868294,0.3689170804702285
UCCS,UCCS/blue/blue_14.jpg,1.5985551,1.8039587,0.2648873005132204,0.4076400186294477
UCCS,UCCS/blue/blue_15.jpg,1.6993331,1.8625373,0.31428220530351797,0.444695217448301
UCCS,UCCS/blue/blue_16.jpg,1.7861508,1.9492123,0.3435053160152531,0.4754082697831033
UCCS,UCCS/blue/blue_17.jpg,1.8775567,2.0800505,0.3632626085627563,0.5070147477897566
UCCS,UCCS/blue/blue_18.jpg,1.93658,2.1211102,0.3876668201054216,0.5228340031397712
UCCS,UCCS/blue/blue_19.jpg,2.1014278,2.2608404,0.4319891953257918,0.5644566058816145
UCCS,UCCS/blue/blue_20.jpg,2.2137802,2.3316162,0.4858098035639666,0.5838942247568478
UCCS,UCCS/blue/blue_21.jpg,2.1672204,2.2862306,0.4850009430488831,0.5811021711943449
UCCS,UCCS/blue/blue_22.jpg,2.0123363,2.2027707,0.4645649625380475,0.5642141552307326
UCCS,UCCS/blue/blue_23.jpg,2.1302404,2.299525,0.48898155120577913,0.5886501289689978
UCCS,UCCS/blue/blue_24.jpg,2.3813293,2.4581685,0.5413562944086586,0.6153632033176301
UCCS,UCCS/blue/blue_25.jpg,2.5824006,2.6389291,0.6031792825522376,0.6540773276185524
UCCS,UCCS/blue/blue_26.jpg,2.7060168,2.739051,0.6476741228401436,0.679067209188424
UCCS,UCCS/blue/blue_27.jpg,2.7593334,2.8028686,0.6750919508028508,0.6971173582617625
UCCS,UCCS/blue/blue_28.jpg,2.7177274,2.749582,0.6941044245358907,0.6881726432407738
UCCS,UCCS/blue/blue_29.jpg,2.5530994,2.6159549,0.675532449642393,0.6684387304885062
UCCS,UCCS/blue/blue_30.jpg,2.625146,2.6943896,0.650365379771981,0.6618852604130451
UCCS,UCCS/blue/blue_31.jpg,3.3669302,3.36122,0.6372163349181293,0.7394955696210033
UCCS,UCCS/blue/blue_32.jpg,3.3689632,3.3564441,0.6494531248626705,0.7709770637373233
UCCS,UCCS/blue/blue_33.jpg,3.2837164,3.2713125,0.6675981565790795,0.77478008847316
UCCS,UCCS/blue/blue_34.jpg,3.2025368,3.2025042,0.6624535299314737,0.7792789383732136
UCCS,UCCS/blue/blue_35.jpg,3.187392,3.1853604,0.658608819001975,0.7775730735666192
UCCS,UCCS/blue/blue_36.jpg,3.7796228,3.7763531,0.6214319919910043,0.7733812682129932
UCCS,UCCS/blue/blue_37.jpg,3.9556115,3.913465,0.6454914943714659,0.7835894325450444
UCCS,UCCS/blue/blue_38.jpg,4.1491866,4.094178,0.6985461261843972,0.824835206070099
UCCS,UCCS/blue/blue_39.jpg,2.7980773,2.8331923,0.5842437772393906,0.6827468574423597
UCCS,UCCS/blue/blue_40.jpg,2.8458738,2.8729906,0.5722760773494731,0.6793047085157455
UCCS,UCCS/blue/blue_41.jpg,3.0673835,3.0739286,0.6057625664587362,0.6933255107195989
UCCS,UCCS/blue/blue_42.jpg,2.8083909,2.8221483,0.599372912300202,0.6856215136429207
UCCS,UCCS/blue/blue_43.jpg,2.547994,2.632415,0.4914752156412164,0.6660131596773403
UCCS,UCCS/blue/blue_44.jpg,2.5769691,2.6524558,0.49228135693019454,0.6704404087182259
UCCS,UCCS/blue/blue_45.jpg,2.5814507,2.6521642,0.49782773042976397,0.6634684810165107
UCCS,UCCS/blue/blue_46.jpg,2.4366102,2.524,0.4970914466680396,0.6783705098677747
UCCS,UCCS/blue/blue_47.jpg,2.4435956,2.550592,0.50666509702952,0.6733134787849374
UCCS,UCCS/blue/blue_48.jpg,2.5191193,2.6085443,0.5179651192618645,0.6945242649698363
UCCS,UCCS/blue/blue_49.jpg,2.7942708,2.844649,0.5635676299778238,0.7298759656306318
UCCS,UCCS/blue/blue_50.jpg,2.1814497,2.2611096,0.5626579632091555,0.8220053704705386
UCCS,UCCS/blue/blue_51.jpg,1.7630961,1.9008522,0.5151032598374929,0.7590098466832493
UCCS,UCCS/blue/blue_52.jpg,2.1469712,2.2641048,0.4385396422163922,0.6480256345087492
UCCS,UCCS/blue/blue_53.jpg,2.1873817,2.332379,0.4554057300164096,0.6601969130156119
UCCS,UCCS/blue/blue_54.jpg,2.4099784,2.5232308,0.4949158390721432,0.6808734959264217
UCCS,UCCS/blue/blue_55.jpg,2.249463,2.3632057,0.4875794864107391,0.6741271446564772
UCCS,UCCS/blue/blue_56.jpg,2.1384497,2.25286,0.4295172018217054,0.632593466752442
UCCS,UCCS/blue/blue_57.jpg,2.2063496,2.3136132,0.4246968309897933,0.669127625872287
UCCS,UCCS/blue/blue_58.jpg,2.4141033,2.5139208,0.4264573518542049,0.6760554759555123
UCCS,UCCS/blue/blue_59.jpg,2.052153,2.1507032,0.5511054976759004,0.6618169578027379
UCCS,UCCS/blue/blue_60.jpg,2.1844974,2.2884412,0.40534027072150813,0.591160656987212
UCCS,UCCS/blue/blue_61.jpg,2.4151466,2.4994762,0.41400637633937787,0.5747297302049736
UCCS,UCCS/blue/blue_62.jpg,2.4813266,2.5574026,0.40078385707605557,0.5533462773654145
UCCS,UCCS/blue/blue_63.jpg,2.1200488,2.1792243,0.4363259513745145,0.609118143681402
UCCS,UCCS/blue/blue_64.jpg,2.2356544,2.304396,0.47455069120462723,0.6390014945100702
UCCS,UCCS/blue/blue_65.jpg,2.125294,2.2167187,0.44809623457630327,0.6332654486104282
UCCS,UCCS/blue/blue_66.jpg,2.180318,2.2650056,0.44681693630044966,0.6315943698495688
UCCS,UCCS/blue/blue_67.jpg,2.561129,2.6078038,0.49139486646267877,0.6580021779974217
UCCS,UCCS/blue/blue_68.jpg,2.595025,2.6100864,0.5394985222959869,0.6385103157164197
UCCS,UCCS/blue/blue_69.jpg,1.9786987,2.03177,0.5170975383360366,0.6778871485805347
UCCS,UCCS/blue/blue_70.jpg,2.3289225,2.433031,0.47927646942143426,0.6046879260520365
UCCS,UCCS/blue/blue_71.jpg,2.350126,2.4546776,0.48055651684610146,0.6079477593473784
UCCS,UCCS/blue/blue_72.jpg,2.4274085,2.6475215,0.3812625699443373,0.5271782261392672
UCCS,UCCS/blue/blue_73.jpg,2.1297176,2.3218572,0.32953241816947415,0.44839934109912166
