image,before_psnr,after_psnr,before_ssim,after_ssim,before_uciqe,after_uciqe,before_uiqm,after_uiqm
100_img_.png,12.932024877905263,13.6489228151515,0.7020874,0.77949625,3.7407799,3.9978676,0.5163376237724125,0.6698285332504894
10139.png,17.70706955611992,18.69307592456539,0.7695058,0.8672054,3.2014775,3.2728505,0.41860103116518416,0.4902794401431993
10151.png,16.360250140496923,19.17768525532108,0.79376394,0.93014127,5.0970407,5.123209,0.6308705219357903,0.7160744947830718
101_img_.png,17.794154933756886,16.48715857209138,0.9276869,0.86335486,2.6516073,2.6566124,0.6478044326570648,0.6651263664247034
102_img_.png,14.361716724390396,13.84186485016798,0.796272,0.73062396,3.6186106,3.6287441,0.9009906560846009,0.8498221614268135
104_img_.png,20.55201801607007,18.694683240823494,0.87725455,0.8036359,3.4750807,3.4861832,0.35931394747755446,0.44197565609738876
105_img_.png,12.491624497578508,12.645583812023322,0.6792713,0.71418333,3.2413936,3.294153,0.4905552017070585,0.5848561976642255
106_img_.png,16.742379243089868,21.734398958082718,0.83643556,0.8905441,5.5873795,5.6220665,0.4733032240321429,0.8225790988318227
107_img_.png,15.849587205796,16.23961999020139,0.6799304,0.7208906,3.693015,3.701846,0.45732180902519753,0.5008822749298018
108_img_.png,18.1747368905623,18.19238287599223,0.95536166,0.8932188,3.3282378,3.3217282,0.44017268157820205,0.48699103868038734
10909.png,17.071848886831297,20.291048660752956,0.6747852,0.921756,5.029963,5.0568285,0.4284397436293531,0.5947637803545768
10945.png,14.37953236071129,15.578188683329008,0.68170995,0.80740064,4.706345,4.7702703,0.2564719724769022,0.348492945787187
109_img_.png,12.938726417626874,13.732345496054583,0.6563723,0.6850012,2.9331763,3.1061046,0.3617610119306428,0.5428045391401574
10_img_.png,10.20054583898738,11.366009209268972,0.46883488,0.6237549,2.855012,3.0162601,0.40408079980597894,0.5419388500308888
11052.png,17.689514598586463,24.523543227185357,0.7812049,0.9612281,8.316968,8.333796,0.6353604653840502,0.820590839849351
11064.png,16.875268814683903,20.860227053871206,0.81409377,0.94289523,11.036345,11.077375,0.6621472285709268,0.7444839183960217
